Conference Acronym	Conference Name	Conference Location
ICDM 2015	International Conference on Data Mining	Atlantic City, New Jersey, USA
ECTA 2015	7th International Conference on Evolutionary Computation Theory and Applications	Lisbon, Portugal
MaxEnt 2015	35th International Workshop on Bayesian Inference and Maximum Entropy Methods in Science and Engineering	Clarkson University, Potsdam, NY, USA
MLIS 2015	ICML Workshop on Machine Learning for Interactive Systems (MLIS'15)	Lille, France
INISTA 2015	2015 IEEE International Symposium on INnovations in Intelligent SysTems and Applications	Madrid, Spain
ICONIP 2015	LNCS 22nd International Conference on Neural Information Processing	Istanbul, Turkey
GlobalSIP 2015	IEEE Global Conference on Signal and Information Processing	Orlando, Florida, USA
ACML 2015	7th Asian Conference on Machine Learning	Hong Kong, China
CIBB 2015	Twelfth International Meeting on Computational Intelligence Methods for Bioinformatics and Biostatistics	Naples, Italy
ILP 2015	The 25th International Conference on Inductive Logic Programming	Kyoto, Japan
MUD@ICML 2015	2nd International Workshop on Mining Urban Data	Lille, France
RTStreams 2015	The 1st IEEE International Workshop on Real Time Data Stream Analytics	Helsinki, Finland
STAMLINS 2015	ICML Workshop on Statistics, Machine Learning and Neuroscience	Lille, France
IEEE SMC 2015	IEEE SMC- Special session on BMI and intelligent interaction for automotive applications	Hong Kong, China
DAMDID/RCDL 2015	XVII International Conference on Data Analytics and Management in Data Intensive Domains	Obninsk, Russia
IEEE SMC 2015	IEEE International Conference on Systems, Man, and Cybernatics	Hong Kong, China
MLOSS 2015	ICML 2015 Workshop on Machine Learning Open Source Software: Open Ecosystems	Lille, France
GIGA 2015	GENERAL INTELLIGENCE IN GAME-PLAYING AGENTS	Buenos Aires, Argentina
IP 2015	IJCAI 2015 Workshop in INTELLIGENT PERSONALIZATION (IP'2015)	Buenos Aires, Argentina
Adaptive NLP 2015	Workshop on Adaptive Natural Language Processing at IJCAI 2015	Buenos Aires, Argentina
RecSys 2015	ACM International Conference on Recommender Systems	Vienna, Austria
IntelliSys 2015	SAI Intelligent Systems Conference 2015	London, UK
VAAM 2015	Video Analytics for Audience Measurement	Torino/Turin, Italy
ECML-PKDD 2015	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases	Porto, Portugal
ICMLC 2015	2015 International Conference on Machine Learning and Cybernetnics	Guangzhou, China
ICWAPR 2015	2015 International Conference on Wavelet Analysis and Pattern Recongition	Guangzhou, China
MLPRA 2015	6th International Workshop on Machine Learning, Pattern Recognition and Applications	Amsterdam, The Netherlands
DSBD 2015	The 2nd International Workshop on Data Stream Classification and Big Data Analytics	Wroclaw, Poland
ECC 2015	2nd Euro-China Conference on Intelligent Data Analysis and Applications	Ostrava, Czech Republic
InWebTech 2015	Innovations in Web Technologies (InWebTech 2015)	Gdynia, Poland
PRNI 2015	5th International Workshop on Pattern Recognition in NeuroImaging	Stanford, CA, USA
ICMMI 2015	International Conference on Man-Machine Interactions	The Beskids, Poland
CABDA@CYBCONF 2015	Special Session on Computational Aspects of Big Data Analysis	Gdynia, Poland
AGI 2015	Artificial General Intelligence	Berlin, Germany
EPIA-TEMA 2015	17th Portuguese Conference on Artificial Intelligence (EPIA 2015): Text Mining and Applications (TEMA’15) Track	Coimbra, Portugal
ICMIP 2017	Second International Conference on Multimedia and Image Processing - IEEE, Ei Compendex	Wuhan, China
IWPR 2017	2017 the Second International Workshop on Pattern Recognition (IWPR 2017)--Ei, Scopus and ISI	Singapore
ICMAA 2017	2017 International Conference on Mechanical, Aeronautical and Automotive Engineering (ICMAA 2017)	Malacca, Malaysia
ICBCB - ACM 2017	2017 5th International Conference on Bioinformatics and Computational Biology (ICBCB 2017)-Ei, ISI and Scopus	Hong Kong, China
ICCAE 2017	2017 9th International Conference on Computer and Automation Engineering (ICCAE 2017)-Ei Compendex and Scopus	Sydney, Australia
ICSENT 2016	5th International Conference on Software Engineering and New Technologies	Istanbul, Turkey
PIS@WorldCist 2017	Pervasive Information Systems	Porto Santo, Madeira, Portugal
AAMAS 2017	International Conference on Autonomous Agents and Multiagent Systems	Sao Paulo, Brazil
IEA/AIE 2017 PGM Track 2017	IEA/AIE 2017 - Special Track on Graphical Models: from Theory to Applications	Arras, France
8th ICISA 2017	ICISA International Conference on Information Sience and Applications	Macau, China
ICICDS 2016	International Conference on Intelligent Computing and Decision Systems	Hammamet, Tunisia
AISC 2017	Fifth International Conference on Artificial Intelligence, Soft Computing	Zurich, Switzerland
ARIN 2016	Second International Conference on Artificial Intelligence	Vienna, Austria
ICCRD 2017	The 9th International Conference on Computer Research and Development (ICCRD 2017)-SCOPUS	Ho Chi Minh City, Vietnam
ICCRE 2017	2017 IEEE 2nd International Conference on Control and Robotics Engineering (ICCRE 2017)-IEEE Xplore,EI	Bangkok, Thailand
CLOSER 2017	7th International Conference on Cloud Computing and Services Science	Porto, Portugal
ISDM@FLAIRS 2017	Intelligent Support for Decision Making at FLAIRS-30	Marco Island, Florida, USA
CPAIOR 2017	Fourteenth International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming	Padova, Italy
SLIE 2017	Semantic, Logics, Information Extraction and AI	Marco Island, Florida, USA
UR@FLAIRS30	FLAIRS30 - Uncertain Reasoning (UR) Special Track	Marco Island, Florida, USA
CPAIOR (2nd CfP) 2017	CPAIOR 2017 Second CfP - Integration of AI, OR and CP for optimization	Padova, Italy
CogSIMA 2017	2017 IEEE Conference on Cognitive and Computational Aspects of Situation Management	Savannah, Georgia, USA
BDAS 2017	13th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures	Ustron near Krakow, Poland
IEA/AIE 2017	The 30th International Conference on Industrial, Engineering, Other Applications of Applied Intelligent Systems	Arras, France
ICAIT 2017	International Conference on Advances in Information Technology	Katmandu, Nepal
ICMERR 2016	International Conference on Mechanical Engineering and Robotics Research - EI Compendex, Scopus, and ISI CPCS	Singapore
ICIST 2017	7th International Conference on Information Systems and Technologies	Dubai, UAE
ICMRE 2017	2017 3rd International Conference on Mechatronics and Robotics Engineering (ICMRE 2017)- Springer, Scopus	Paris, France
ICMEAE 2017	2016 4th International Conference on Mechatronics, Electronics and Automation Engineering (ICMEAE 2017) -Ei&Scopus	Bangkok, Thailand
IEEE-ICIM 2017	2017 3rd IEEE International Conference on Information Management (ICIM 2017)--Ei Compendex	Chengdu, Sichuan, China
EI-ICDES 2017	2017 Second International Conference on Design Engineering and Science (ICDES 2017)	Kortrijk, Belgium
ICDES 2017	2017 Second International Conference on Design Engineering and Science (ICDES 2017)--EI&Scopus	Kortrijk, Belgium
ICMSCE 2017	2017 International Conference on Mechanical Systems and Control Engineering (ICMSCE 2017)--Ei Compendex, Scopus	Abdullah Gül University, Kayseri, Turkey
ICCTD 2017	8th International Conference on Computer Technologies and Development-EI, Scopus, and ISI CPCS	Paris, France
ICICT 2017	International Conference on Information and Computer Technologies-Ei,Scopus	Kanyakumari, India
ICSCA 2017	6th International Conference on Software and Computer Applications (ICSCA 2017)-Ei Compendex	Bangkok, Thailand
ICBEA 2017	2017 International Conference on Biometrics Engineering and Application (ICBEA 2017)--Ei Compendex and Scopus	Hong Kong, China
ICMLC - ACM 2017	9th International Conference on Machine Learning and Computing	Singapore
EI--AIACT 2017	2017 International Conference on Artificial Intelligence, Automation and Control Technologies--Ei & SCOPUS	Wuhan, China
ICCCBDA 2017	2nd IEEE International Conference on Cloud Computing and Big Data Analysis -Ei Compendex	Chengdu, Sichuan, China
AIACT 2017	2017 International Conference on Artificial Intelligence, Automation and Control Technologies (AIACT 2017)	Wuhan, China
ICIAI 2017	International Conference on Innovation in Artificial Intelligence -Scopus, Ei Compendex	Singapore
IUI 2017 - Posters and Demos 2017	22nd ACM International Conference on Intelligent User Interfaces - Posters and Demos	Limassol, Cyprus
CSMO 2017	2017 International Conference on Simulation, Modeling and Optimization (CSMO 2017)--Ei&Scopus	Phuket, Thailand
ICCAR 2017	2017 3rd IEEE International Conference on Control, Automation and Robotics (ICCAR 2017) - IEEE Xplore and Ei Compendex	Nagoya, Japan
ISNN 2017	Fourteenth International Symposium on Neural Networks	Sapporo, Hokkaido, Japan
ICOCB - EI 2017	2017 International Conference on Computational Biology (ICOCB 2017)-EI Compendex, Scopus, and ISI CPCS	Jakarta, Indonesia
ICAIL 2017	16th International Conference on Artificial Intelligence and Law	London, UK
ICIVC- SPIE 2017	2nd International Conference on Image, Vision and Computing (ICIVC 2017)-Ei Compendex and Scopus	Chengdu, Sichuan, China
KES-IDT-17 / IS09 (IDT-CMS 2017) 2017	Invited Session on Intelligent Decision Technologies for Manned and Unmanned Combat and Mission Systems	Vilamoura, Algarve, Portugal
KES-AMSTA-17 / IS04 (AMAT-CMS 2017) 2017	Invited Session on Agent and Multi-Agent Based Technologies in Current and Future Combat and Mission Systems	Vilamoura, Algarve, Portugal
ICVR 2017	2017 3rd International Conference on Virtual Reality ICVR 2017	Hong Kong, China
ICSIP-IEEE 2017	2nd International Conference on Signal and Image Processing - IEEE	Singapore
ACIRS 2017	2nd IEEE Asia-Pacific Conference on Intelligent Robot Systems (ACIRS 2017)-IEEE Xplore, Ei Compendex	Wuhan, China
ICMMR-Ei 2017	2017 4th International Conference on Mechanics and Mechatronics Research (ICMMR 2017) - Ei Compendex, Scopus and CPCI	Xi'an, China
WCSE 2017	7th International Workshop on Computer Science and Engineering --Scopus & Ei compendex	Wuhan, China
ICSN 2017	International Conference on Software Networking2017	Kuala Lumpur, Malaysia
ICOSE 2017	2017 International Conference on Software Engineering (ICOSE 2017) -- EI &Scopus	Beijing, China
IROS 2017	IEEE/RSJ International Conference on Intelligent Robots and Systems	Vancouver, Canada
HSI 2017	The 10th International Conference on Human System Interaction	Ulsan, Korea
ICINCO 2017	International Conference on Informatics in Control, Automation and Robotics	Madrid, Spain
ICMAE 2017	2017 The 8th International Conference on Mechanical and Aerospace Engineering (ICMAE 2017)—IEEE and Ei Compendex	Prague, Czech Republic
IDAP 2017	International Artificial Intelligence and Data Processing Symposium	Malatya, Turkey
IEEE--ICSGSC 2017	2017 IEEE International Conference on Smart Grid and Smart Cities (ICSGSC 2017)--IEEE Xplore and Ei Compendex	Singapore
TSD 2017	20th International Conference on Text, Speech and Dialogue	Prague, Czech Republic
EPIA 2017	EPIA Conference on Artificial Intelligence -- Journal Track	Porto, Portugal
IEEE--ISCBI 2017	ISCBI 2017 (5th International Symposium on Computational and Business Intelligence)-IEEE Xplore and Ei Compendex	Dubai, UAE
ICCSSE 2017	2017 3rd International Conference on Control Science and Systems Engineering (ICCSSE 2017)--IEEE, Ei Compendex	Beijing, China
ICRAS 2017	2017 International Conference on Robotics and Automation Sciences (ICRAS 2017)--IEEE, Ei Compendex and Scopus	Hong Kong, China
IEEE--ICAVE 2017	2017 International Conference on Automotive and Vehicle Engineering (ICAVE 2017)-IEEE Xplore and Ei Compendex	Singapore
ICITE 2017	2017 2nd International Conference on Intelligent Transportation Engineering (ICITE 2017)-IEEE Xplore and Ei Compendex	Singapore
ISAIR 2017	The 2nd International Symposium on Artificial Intelligence and Robotics 2017	Kitakyushu, Japan
IUI 2017	Intelligent User Interfaces	Limassol, Cyprus
IPMU 2018	17th Information Processing and Management of Uncertainty in Knowledge-Based Systems Conference	Cádiz, Spain
ICBBT- Ei 2017	2017 9th International Conference on Bioinformatics and Biomedical Technology (ICBBT 2017)--Ei Compendex and Scopus	Lisbon, Portugal
StoryCase 2012	ICCBR-12 Workshop on Stories, Episodes, and Cases (StoryCase)	Lyon, France
CCEAI 2017	2017 International Conference on Control Engineering and Artificial Intelligence (CCEAI 2017)--EI&Scopus	Kuala Lumpur, Malaysia
[ ICMDM ] 2016	3rd International Conference on Mechanical Design and Manufacturing - SCOPUS, Ei	Jeju Island, South Korea
SMART 2016	SMART 2016 – Scientific Methods in Academic Research and Teaching	Timisoara, Romania
ICMLSC 2017	International Conference on Machine Learning and Soft Computing - ACM	Ho Chi Minh City, Vietnam
ICAART 2017	9th International Conference on Agents and Artificial Intelligence	Porto, Portugal
ICPRAM 2017	International Conference on Pattern Recognition Applications and Methods	Porto, Portugal
CSBio 2016	7th International Conference on Computational Systems-Biology and Bioinformatics	University of Macau, Macau
IUI 2017	22nd ACM International Conference on Intelligent User Interfaces - Tutorials	Limassol, Cyprus
PlanSIG 2016	The 34th Workshop of the UK PLANNING AND SCHEDULING Special Interest Group	Huddersfield, UK
ICPRAM 2017	6th International Conference on Pattern Recognition Applications and Methods	Porto, Portugal
[ ICCIS ] 2016	International Conference on Communication and Information Systems	Bangkok, Thailand
ICOAI 2016	2016 3th International Conference on Artificial Intelligence (ICOAI 2016)	Limerick City, Ireland
IUI 2017	22nd ACM International Conference on Intelligent User Interfaces	Limassol, Cyprus
ICIMT 2016	2016 8th International Conference on Information and Multimedia Technology (ICIMT 2016)	Kuala Lumpur, Malaysia
KRR@SAC 2017	Knowledge Representation and Reasoning (track of the 32st ACM/SIGAPP Symposium On Applied Computing)	Marrakesh, Morrocco
ICORES 2017	International Conference on Operations Research and Enterprise Systems	Porto, Portugal
ICAART 2017	International Conference on Agents and Artificial Intelligence	Porto, Portugal
ISW-LOD 2016	4th International Workshop on Semantic Web and Linked Open Data	San Jose, Costa Rica
IEEE-ICICM 2016	2016 IEEE International Conference on Integrated Circuits and Microsystems (ICICM 2016)--EI & SCOPUS	Chengdu, Sichuan, China
ICCIP - EI, ACM 2016	2016 the 2nd International Conference on Communication and Information Processing(ICCIP 2016)--EI, SCOPUS	Singapore
KARE 2016	9th International Workshop on Knowledge Acquisition Reuse & Evaluation	Naples, Italy
ICITDA 2016	The International Conference on Information Technology and Digital Applications (Indexing: Scopus, Inspec, EI Compendex)	Yogyakarta, Indonesia
PIC 2016	The 2016 International Conference on Progress in Informatics and Computing	Shanghai, China
IUI 2017	22nd ACM International Conference on Intelligent User Interfaces - Workshops	Limassol, Cyprus
AT 2016	INTERNATIONAL CONFERENCE ON AGREEMENT TECHNOLOGIES	Valencia
SACCOCO 2017	Cognitive Computing Track @ ACM SAC 2017	Marrakesh, Morrocco
ICSRS 2016	IEEE-2016 International Conference on System Reliability and Science (ICSRS 2016)-EI Compendex	Paris, France
HTC 2016	Humanitarian Technology Conference 2016	Agra, India
FCST 2016	International Conference on Frontier of Computer Science and Technology	Nagasaki, Japan
LaSh 2016	Fifth Workshop on Logic and Search	New York, USA
CRoNe 2016	2nd Congress on Robotics and Neuroscience - Call for posters (extended)	Valparaiso, Chile
AI*AAL.it 2016	Second Italian Workshop on Artificial Intelligence for Ambient Assisted Living	Genoa, Italy
EUMAS 2016	14th EUROPEAN CONFERENCE ON MULTI-AGENT SYSTEMS	Valencia, Spain
MECN 2016	Second International Conference on Mechanical Engineering	Dubai, UAE
ICTCC 2017	3rd International Conference on NaTure of Computation and Communication	Hue City, Vietnam
PRASA-RobMech 2016	Symposium of the Pattern Recognition Association of South Africa (PRASA) and Conference of Robotics and Mechatronics (RobMech)	Stellenbosch, South Africa
Artificial Intelligence Workshop - ENC 2016	Artificial Intelligence Workshop: Methods and applications - At Mexican International Conference on Computer Science 2016 (ENC 2016)	Chihuahua, México
JSAI-isAI 2016	JSAI International Symposia on AI 2016	Yokohama, Japan
RATIC 2016	Workshop on Reasoning about Time in CBR	Atlanta, Georgia, USA
ISAIR 2016	The 1st International Symposium on Artificial Intelligence and Robotics 2016	Wuhan, China
BiSIP 2016	Call for Book Chapters: Biomedical Signal and Image Processing in Patient Care	India
CCC@ICCBR 2016	Computer Cooking Contest at the 24th International Conference on Case-based Reasoning	Atlanta, Georgia, USA
ICDLE 2016	2016 7th International Conference on Distance Learning and Education (ICDLE 2016)	Hertfordshire, UK
MIWAI 2016	The 10th Multi-disciplinary International Workshop on Artificial Intelligence	Chiang Mai, Thailand
FETLT 2016	Second Workshop on Future and Emerging Trends in Language Technologies, Machine Learning and Big Data	Seville, Spain
ACML 2016	8th Asian Conference on Machine Learning	Hamilton, New Zealand
IEEE CISDA 2016	2016 IEEE Symposium on Computational Intelligence for Security and Defense Applications	Athens, Greece
MIKE 2016	The Fourth International Conference on MINING INTELLIGENCE AND KNOWLEDGE EXPLORATION	Mexico City, Mexico
SiPML 2016	2016 Workshop on Signal Processing and Machine Learning (SiPML)	Soonchunhyang (SCH) University, Asan, Korea
IEEE ICRAI 2016	2nd International Conference on Robotics and Artificial Intelligence	Islamabad
CIIISI 2016	III Congreso Internacional de Ingeniería Informática y Sistemas de Información	La Habana, Cuba
BigComp Workshop 2017	BigComp 2017 Call for Workshop Proposals	Jeju Island, South Korea
AI 2016	The 29th Australasian Joint Conference on Artificial Intelligence	Hobart, Australia
AISO 2016	Second International Conference on Artificial Intelligence and Soft Computing	Dubai, UAE
AI-HRI 2016	AAAI Fall Symposium on Artificial Intelligence for Human-Robot Interaction	Arlington, VA
ICMDA 2016	2016 International Conference on Mechatronics, Design and Auotmation Engineering (ICMDA 2016)	Moscow, Russia
ICCASA 2016	5th International Conference on Context-Aware Systems and Applications	Thu Dau Mot City, Vietnam
ICTAI 2016	IEEE International Conference on Tools with Artificial Intelligence	San Jose, CA
icaase 2016	The 2nd International Conference on Advanced Aspects of Software Engineering (ICAASE’16)	Constantine- Algerie
DARS 2016	13th International Symposium on Distributed Autonomous Robotic Systems	London, UK
ATSS 2016	6th IEEE International Workshop on Artificial Transportation Systems and Simulation	Rio de Janeiro, Brazil
URSW 2016	Uncertainty Reasoning for the Semantic Web 2016	Kobe, Japan
ACALCI 2016	Australasian Conference on Artificial Life and Computational Intelligence	Canberra, Australia
CCKS 2016	China Conference on Knowledge Graph and Semantic Computing	Beijing, China
AIR 2016	Artificial Intelligence and Robotics Conference	Nanjing, china
IDAP 2016	International Artificial Intelligence and Data Processing Symposium	Malatya, Turkey
AITIC 2016	2016 Applied Informatics and Technology Innovation Conference	Newcastle, Australia
ICCIA-Ei 2016	EI compendex--2016 International Conference on Computational Intelligence and Applications (ICCIA 2016)	Jeju Island, South Korea
CEEC 2016	8th Computer Science and Electronic Engineering Conference	Colchester, UK
CIG / CEEC 2016	Special Session on Computational Intelligence and Games at CEEC 2016	Colchester, UK
ICA 2016	International Conference on Agents	Matsue, Japan
ICITE 2016	2016 International Conference on Intelligent Transportation Engineering (ICITE 2016)--IEEE Xplore, Ei Compendex	Singapore
ICCES 2016	International Conference of Computing for Engineering and Sciences	Barcelona, Spain
CRC--Ei 2016	(CRC 2016)2016 International Conference on Cybernetics, Robotics and Control	Hong Kong, China
CMAME 2016	2016 4th International Conference on Mechanical, Automotive and Materials Engineering (CMAME 2016) -- Ei & Scopus	Chengdu, Sichuan, China
SKG 2016	The 12th International Conference on Semantics, Knowledge and Grids on Big Data	Beijing, China
PLP 2016	The Third Workshop on Probabilistic Logic Programming	London, UK
JELIA 2016 2016	15th European Conference On Logics In Artificial Intelligence	Larnaca
SYNASC 2016	CFP 18th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing September 24-27, 2016, Timisoara, Romania	Timisoara, Romania
ICMVA 2016	2016 2nd International Conference on Machine Vision and Applications (ICMVA 2016)	Beijing, China
AmILP@ECAI 2016	First International Workshop on Ambient Intelligence for Large Premises	The Hague, The Netherlands
PrAISe 2016	Workshop on AI for Privacy and Security	The Hague, The Netherlands
ICIVC 2016	2016 5th IEEE International Conference on Image, Vision and Computing (ICIVC 2016)--Ei Compendex	Portsmouth, UK
CACRE 2016	EI & Scopus--2016 International Conference on Automation, Control and Robotics Engineering (CACRE 2016)	Kitakyushu, Japan
ICIAE 2016	2016 International Conference on Intelligent Automotive Engineering (ICIAE 2016)--IEEE Xplore & Ei Compendex	Singapore
ICAIR 2016	ACM-2016 International Conference on Artificial Intelligence and Robotics ( ICAIR 2016)--EI &Scopus	Kitakyushu, Japan
ICSR 2016	The 8th International Conference on Social Robotics	Kansas City, USA
ICMST 2016	2016 7th International Conference on Manufacturing Science and Technology (ICMST 2016)--Ei Compendex, Scopus	Sarawak, Malaysia
IoA - 2016	The IEEE/ACM/WIC Workshop on the Internet of Agents	Omaha, Nebraska, USA
ICEDA 2016	2016 International Conference on Engineering Design and Analysis (ICEDA 2016)--scopus	Langkawi, Malaysia
ICIMN--Ei 2016	SCOPUS & Ei--2016 International Conference on Intelligent Materials and Nanomaterials (ICIMN 2016)	Mexico City, Mexico
ICCBB 2016	Scopus--2016 International Conference on Computational Biology and Biological Engineering-ICCBB 2016	Langkawi, Malaysia
RuleML 2016	CFP5 - RuleML and DecisionCamp 2016 Call for Participation	Stony Brook University, New York, USA
PR4MCA 2016	The 2nd International Workshop on Pattern Recognition for Multimedia Content Analysis	Hanoi, VietNam
ACMME 2016	Ei,ISI,Scopu--2016 4th Asia Conference on Mechanical and Materials Engineering (ACMME 2016)	Kuala Lumpur, Malaysia
LIIE 2016	Legal Issues in Intelligent Environments'16	London, UK
SASO 2016	IEEE International Conference on Self-Adaptive and Self-Organizing Systems	Augsburg, Germany
SUM 2016	Scalable Uncertainty Management	Nice, France
ISSEA 2016	Special Session on Intelligent Systems and Software Engineering Advances	Druskininkai, Lithuania
WISTIPS 2016	INFORMATION AND SOFTWARE TECHNOLOGIES FOR INTELLIGENT POWER SYSTEMS	Druskininkai, Lithuania
ICRCA 2016	2016 International Conference on Robot Control and Automation (ICRCA 2016)--EI, SCOPUS & ISI	Tokyo, Japan
SocInf 2016	2nd International Workshop on Social Influence Analysis	New York, USA
HLT-IA 2016	Workshop on Human Language Technology and Intelligent Applications (IJCAI 2016 Workshop)	New York, USA
CCSSE 2016	(IEEE Xplore and Ei Compendex) 2016 2nd International Conference on Control Science and Systems Engineering (CCSSE 2016)	Singapore
ECAI 2016	8th International Conference on Electronics, Computers and Artificial Intelligence	Ploiesti, Romania
AIoT 2016	Special session “Affordances in the Internet of Things” (AIoT) at COIOTE ‘16	Covilhã, Portugal
IBERAMIA 2016	15th Ibero-American Conference on Artificial Intelligence	San Jose, Costa Rica
STAIRS 2016	European Starting AI Researcher Symposium	The Hague, The Netherlands
ICMAE-EI 2016	EI--2016 The 7th International Conference on Mechanical and Aerospace Engineering (ICMAE 2016)	London, UK
ICCBR 2016	International Conference on Case Base Reasoning	Atlanta, Georgia, USA
NSAIS 2016	North-European Society for Adaptive and Intelligent Systems Workshop	Lappeenranta
ICIIL 2016	ICIIL 2016 2nd International Conference on Innovation and Industrial Logistics--EI Compendex	Lucerne, Switzerland
ICEMT 2016	2016 7th International Conference on Education and Management Technology (ICEMT 2016	Shanghai, China
ICVED 2016	ICVED 2016 2nd International Conference on Vehicle Engineering and Design--EI Compendex	Lucerne, Switzerland
6th ICITCS 2016	International Conference on IT Convergence and Security	Prague, Czech Republic
HINA 2016	4th IJCAI Workshop on Heterogeneous Information Network Analysis (HINA)	New York, USA
IoTAAL - PIMRC 2016	2nd IEEE International Workshop on Internet of Things for Ambient Assisted Living (IoTAAL) - IEEE PIMRC 2016, Valencia, Spain - Sept 4, 2016	Valencia, Spain
KI 2016	39th German Conference on Artificial Intelligence / ÖGAI-Tagung 2016	Klagenfurt, Austria
ICMET 2016	ICMET 2016 8th International Conference on Mechanical and Electrical Technology (Ei Compendex & Scopus)	Sun Moon Lake, Taiwan
AIMA 2016	6th International Workshop on Artificial Intelligence in Medical Applications	Gdansk, Poland
DSTUI 2016	1st International Workshop on Dealing with Spatial and Temporal Uncertainty and Imprecision	Gdansk, Poland
AIRIM 2016	1st International Workshop on AI aspects of Reasoning, Information, and Memory	Gdansk, Poland
AIMaViG 2016	2nd International Workshop on Artificial Intelligence in Machine Vision and Graphics	Gdansk, Poland
WCO 2016	9th International Workshop on Computational Optimization	Gdansk, Poland
AAIA 2016	11th International Symposium Advances in Artificial Intelligence and Applications	Gdansk, Poland
PRIMA 2016	Principles and Practice of Multi-Agent Systems	Phuket, Thailand
MT4BD 2016	3nd Workshop on New Methods and Tools for Big Data	Thessaloniki, Greece
LANMR 2016	LANMR 2016 : Ninth Latin American Workshop on Logic/Languages, Algorithms and New Methods of Reasoning 2016	Puebla
ATT 2016	Ninth International Workshop on Agents in Traffic and Transportation	New York, USA
IVA 2016	Intelligent Virtual Agents Conference	Los Angeles, California, USA
CIG 2016	IEEE Computational Intelligence and Games Conference	Santorini Island, Greece
NN in Games 2016	Workshop on Neural Networks in Games at the Computers and Games Conference 2016 Leiden	Leiden, The Netherlands
BeyondLabeler 2016	IJCAI 2016 Workshop: Human is More Than a Labeler	New York, USA
CCSEIT 2016	6 th International Conference on Computer Science, Engineering and Information Technology	Vienna, Austria
ICCSE 2016	The 2016 International Conference on Crowd Science and Engineering	The University of British Columbia
ICBBS 2016	2016 5th International Conference on Bioinformatics and Biomedical Science (ICBBS 2016)	Bali, Indonesia
ICMMR 2016	2016 3rd International Conference on Mechanics and Mechatronics Research (ICMMR 2016)--Ei & Scopus	Chongqing, China
SPECOM 2016	18th International Conference on Speech and Computer	Budapest, Hungary
ICEESM 2016	(ICEESM 2016) 2016 International Conference on Energy Engineering and Smart Materials-- EI &Scopus	Bangkok, Thailand
HSP@HCIST 2016	Healthy and Secure People	Porto, Portugal
Bridging 2016	Bridging the Gap between Human and Automated Reasoning	New York, USA
ALICE 2016	6th International Workshop on Adaptive Learning via Interactive, Collaborative and Emotional approaches	Ostrava, Czech Republic
WCSE 2016	EI&SCOPUS--2016 6th International Workshop on Computer Science and Engineering (WCSE 2016)	Tokyo, Japan
SPCIES 2016	SPCIES 2016 International Conference on Security and Performances In Complex Infrastructures and Emerging Systems	Warsaw, Poland
IJCAI-SBD 2016	IJCAI 2016 Workshop on Scholarly Big Data: AI Perspectives, Challenges, and Ideas	New York, USA
IMS 2016	First International Workshop on Intelligent Mentoring Systems in conjunction with ITS2016	Zagreb, Croatia
SocialNLP@IJCAI 2016	The 4th International Workshop on Natural Language Processing for Social Media 2016	New York, USA
ICBBT 2016	ICBBT 2016 8th International Conference on Bioinformatics and Biomedical Technology	Barcelona, Spain
AIC 2016	AIC 2016 - 4th International Workshop on Artificial Intelligence and Cognition - July 2016, New York (co-located with IJCAI 16)	New York, USA
ICMIE 2016	ICMIE 2016 International Conference on Measurement Instrumentation and Electronics (Ei Compendex & Scopus)	Munich, Germany
NN 2016	The First International Conference on Neural Networks and Applications	Tehran, Iran
ICPCO 2016	2016 2nd International Conference on Power Control and Optimization (ICPCO 2016)--Ei & Scopus	Chongqing, China
AI & FL 2016	Fourth International Conference of Artificial Intelligence and Fuzzy Logic	Dubai, UAE
CSE 2016	Fourth International Conference on Computational Science and Engineering	Dubai, UAE
CCKS-Challenge 2016	CCKS2016 - Call for Task Proposals	Beijing, China
ICIIP 2016	EI Compendex, Scoupus -- 2016 the 5th International Conference on Intelligent Information Processing (ICIIP 2016)	Beijing, China
ICMSI-Ei 2016	SCOPUS, Ei--2016 International Conference on Materials and Structural Integrity (ICMSI 2016)	Paris, France
ICOAE 2016	2016 International Conference on Aerospace Engineering (ICOAE 2016) - IEEE Xplore and Ei Compendex	Moscow, Russia
JFSMA 2016	Journées Francophones sur les Systèmes Multi-Agents	Rouen
DS4IDS@ICCSA 2016	Data Science for Intelligent Decision Support	Beijing, China
SLPCS 2016	Workshop on Semantic Spaces at the Intersection of NLP, Physics and Cognitive Science	Glasgow, Scotland, UK
SEPLN 2016	32nd INTERNATIONAL CONFERENCE OF THE SPANISH SOCIETY FOR NATURAL LANGUAGE PROCESSING (SEPLN 2016)	Salamanca
ICCS 2016	ICCS 2016 : 18th International Conference on Cognitive Systems	Istanbul, Turkey
AIVAHC 2016	Affective Interaction with Virtual Assistants within the Healthcare Context	Cancún, Mexico
SAB 2016	The 14th International Conference on the Simulation of Adaptive Behavior: From Animals to Animats	Aberystwyth University, Aberystwyth, UK
MCMC 2016	2016 International Conference on Multi-lingual Computer Mediated Communication (MCMC 2016)	Hong Kong, China
ICIM-Ei 2016	2016 2nd International Conference on Information Management (ICIM 2016)--IEEE,EI	London, UK
